Player,TEAM_ABBREVIATION,GP,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PTS
Precious Achiuwa,NYK,28,19.39,2.64,4.93,0.25,0.64,0.61,1.07,1.89,3.75,5.64,1.04,0.93,0.75,0.79,6.14
Steven Adams,HOU,33,12.12,1.39,2.33,0.0,0.0,0.85,1.88,2.55,2.52,5.06,1.12,0.3,0.48,0.97,3.64
Bam Adebayo,MIA,46,33.89,6.26,13.41,0.72,2.5,2.98,4.07,2.46,7.52,9.98,4.61,1.35,0.8,2.17,16.22
Ochai Agbaji,TOR,43,28.02,4.16,8.14,1.56,3.88,0.47,0.7,0.84,2.84,3.67,1.67,0.84,0.6,0.79,10.35
Santi Aldama,MEM,41,24.83,5.1,10.32,1.73,4.73,1.05,1.46,1.59,5.24,6.83,2.59,0.83,0.56,1.12,12.98
Trey Alexander,DEN,14,4.43,0.29,1.29,0.14,0.64,0.14,0.14,0.0,0.29,0.29,0.43,0.07,0.07,0.07,0.86
Nickeil Alexander-Walker,MIN,49,23.71,3.16,7.1,1.71,4.27,0.78,1.06,0.59,2.31,2.9,2.41,0.61,0.31,1.27,8.82
Grayson Allen,PHX,39,24.49,3.46,7.56,2.44,5.62,1.51,1.82,0.62,2.79,3.41,1.92,0.92,0.28,1.05,10.87
Jarrett Allen,CLE,49,28.84,5.63,7.98,0.0,0.04,2.47,3.37,2.57,7.47,10.04,1.9,0.92,0.94,1.08,13.73
Jose Alvarado,NOP,26,22.19,3.23,8.0,2.19,5.31,1.04,1.31,0.46,1.5,1.96,4.12,1.31,0.31,1.15,9.69
Kyle Anderson,GSW,36,15.03,2.11,4.69,0.53,1.44,0.5,0.75,0.75,2.31,3.06,2.25,0.72,0.56,0.56,5.25
Giannis Antetokounmpo,MIL,41,34.9,12.71,20.9,0.15,0.78,6.2,10.73,2.29,9.88,12.17,5.88,0.76,1.32,3.44,31.76
Cole Anthony,ORL,45,16.73,3.2,7.71,0.96,3.02,1.33,1.69,0.64,2.22,2.87,2.76,0.6,0.31,1.58,8.69
OG Anunoby,NYK,49,36.29,6.16,12.8,2.1,5.76,1.94,2.45,1.31,3.41,4.71,2.02,1.41,0.88,1.31,16.37
Deni Avdija,POR,46,28.72,4.89,10.52,1.48,4.33,3.46,4.46,1.26,5.24,6.5,3.46,1.07,0.59,2.41,14.72
Deandre Ayton,POR,35,30.31,6.8,11.69,0.17,0.89,0.77,1.26,3.0,7.14,10.14,1.54,0.8,0.94,1.71,14.54
Marvin Bagley III,WAS,19,8.79,2.0,3.74,0.11,0.53,0.79,1.21,1.42,1.53,2.95,0.37,0.37,0.26,0.58,4.89
Patrick Baldwin Jr.,WAS,22,4.59,0.77,1.5,0.5,0.95,0.09,0.18,0.23,0.77,1.0,0.09,0.14,0.09,0.23,2.14
LaMelo Ball,CHA,31,33.26,9.74,23.26,4.13,12.26,4.55,5.55,0.97,4.29,5.26,7.29,1.39,0.32,3.71,28.16
Lonzo Ball,CHI,29,21.31,2.38,6.45,1.86,5.34,0.62,0.72,0.66,2.72,3.38,3.52,1.48,0.52,1.17,7.24
Mo Bamba,LAC,28,12.57,1.71,3.68,0.54,1.79,0.61,0.89,0.93,3.36,4.29,0.57,0.32,1.0,0.68,4.57
Paolo Banchero,ORL,16,33.5,7.94,18.75,1.69,5.5,5.25,8.31,1.31,6.31,7.62,4.88,0.69,0.75,3.38,22.81
Desmond Bane,MEM,40,30.07,6.83,13.7,2.15,5.6,2.12,2.48,0.95,4.72,5.67,5.45,1.2,0.42,2.48,17.93
Dalano Banton,POR,38,15.68,3.11,7.58,1.18,3.32,1.37,1.95,0.32,1.63,1.95,2.18,0.74,0.53,1.26,8.76
Dominick Barlow,ATL,12,6.42,1.0,2.25,0.17,0.58,0.33,0.58,0.17,1.0,1.17,0.25,0.25,0.17,0.0,2.5
Harrison Barnes,SAS,46,28.09,4.0,7.98,1.57,3.74,2.28,2.85,1.46,2.48,3.93,1.83,0.35,0.22,0.59,11.85
Scottie Barnes,TOR,36,34.61,7.67,16.75,1.36,4.92,3.42,4.5,1.64,6.47,8.11,6.42,1.44,0.94,3.06,20.11
RJ Barrett,TOR,41,33.29,8.12,17.29,1.83,5.24,3.51,5.37,1.0,5.63,6.63,5.68,0.8,0.32,3.02,21.59
Charles Bassey,SAS,31,10.94,2.0,3.45,0.0,0.0,0.61,1.0,1.74,2.9,4.65,0.42,0.39,0.94,0.71,4.61
Emoni Bates,CLE,4,3.5,0.0,1.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
Jamison Battle,TOR,34,12.59,1.91,4.18,1.29,3.12,0.35,0.41,0.56,1.26,1.82,0.91,0.12,0.12,0.35,5.47
Nicolas Batum,LAC,47,17.66,1.15,2.87,0.91,2.36,0.23,0.3,0.68,2.19,2.87,1.36,0.64,0.4,0.45,3.45
Bradley Beal,PHX,35,32.29,6.51,13.23,2.03,5.06,1.86,2.4,0.69,2.66,3.34,3.37,1.09,0.63,1.97,16.91
Malik Beasley,DET,49,27.86,5.67,13.14,3.78,9.22,1.14,1.69,0.55,2.35,2.9,1.84,0.92,0.04,1.1,16.27
MarJon Beauchamp,MIL,24,4.29,0.67,1.67,0.25,0.79,0.33,0.42,0.21,0.83,1.04,0.17,0.08,0.04,0.54,1.92
Reece Beekman,GSW,2,2.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.0,1.0
Goga Bitadze,ORL,39,24.15,3.9,6.23,0.05,0.49,1.38,2.08,2.67,5.44,8.1,2.38,0.85,1.62,1.36,9.23
Anthony Black,ORL,46,25.04,3.15,7.83,0.63,2.37,2.07,2.78,0.57,2.09,2.65,3.46,1.02,0.54,1.96,9.0
Bogdan Bogdanović,ATL,24,24.92,3.46,9.33,1.83,6.08,1.25,1.42,0.5,2.25,2.75,2.04,0.83,0.25,1.54,10.0
Bol Bol,PHX,13,5.85,1.15,2.15,0.23,1.0,0.62,0.92,0.46,1.08,1.54,0.23,0.0,0.15,0.54,3.15
Adem Bona,PHI,33,10.85,1.03,1.52,0.0,0.0,0.76,1.21,1.03,1.85,2.88,0.3,0.18,0.76,0.7,2.82
Devin Booker,PHX,43,36.84,8.53,18.95,2.7,7.84,6.16,6.91,0.98,3.07,4.05,6.74,1.14,0.28,2.63,25.93
Brandon Boston Jr.,NOP,41,23.85,3.98,9.1,1.12,3.29,1.59,1.98,0.66,2.56,3.22,2.24,1.24,0.2,1.22,10.66
Chris Boucher,TOR,43,17.4,3.79,7.49,1.47,3.91,1.47,1.86,1.26,3.07,4.33,0.58,0.53,0.56,0.63,10.51
Malaki Branham,SAS,29,9.83,1.69,3.9,0.72,1.83,0.59,0.69,0.1,1.03,1.14,0.9,0.24,0.07,0.97,4.69
Christian Braun,DEN,48,32.46,5.62,9.77,1.02,2.62,2.21,2.65,1.27,3.52,4.79,1.96,1.06,0.54,1.02,14.48
Jalen Bridges,PHX,4,4.25,0.0,0.75,0.0,0.75,0.25,0.5,0.0,0.75,0.75,0.0,0.0,0.0,0.5,0.25
Mikal Bridges,NYK,49,38.27,7.43,15.06,2.43,6.69,0.86,1.14,0.9,2.22,3.12,3.27,0.96,0.51,1.53,18.14
Miles Bridges,CHA,32,31.94,7.09,16.28,2.0,6.78,3.25,3.75,0.97,6.75,7.72,3.59,0.69,0.62,2.06,19.44
Malcolm Brogdon,WAS,19,24.63,4.58,10.53,0.79,2.53,3.32,3.79,0.95,3.16,4.11,3.95,0.53,0.26,1.63,13.26
Dillon Brooks,HOU,45,32.0,4.98,11.82,2.36,6.11,1.24,1.47,1.22,2.58,3.8,1.51,0.8,0.22,1.04,13.56
Bruce Brown,TOR,16,19.88,3.19,7.25,0.62,1.94,1.38,1.56,1.0,2.88,3.88,1.62,1.0,0.19,1.12,8.38
Jaylen Brown,BOS,43,35.6,8.63,18.81,2.0,6.23,4.05,5.49,1.47,4.6,6.07,4.81,1.21,0.28,2.56,23.3
Kobe Brown,LAC,19,8.0,1.21,2.47,0.21,0.84,0.16,0.21,0.74,1.58,2.32,0.63,0.16,0.11,0.26,2.79
Moses Brown,IND,9,5.11,1.44,2.22,0.0,0.0,0.33,0.56,0.44,1.0,1.44,0.0,0.22,0.11,0.67,3.22
Jalen Brunson,NYK,48,35.27,8.9,18.21,2.35,5.85,5.56,6.88,0.42,2.46,2.88,7.52,0.92,0.06,2.42,25.71
Thomas Bryant,MIA,10,11.5,1.2,2.8,0.6,1.7,1.1,1.1,0.6,2.6,3.2,0.4,0.1,0.9,0.2,4.1
Kobe Bufkin,ATL,10,12.4,1.8,4.7,0.4,1.9,1.3,1.8,0.5,1.6,2.1,1.7,0.3,0.2,0.8,5.3
Alec Burks,MIA,25,16.08,1.72,4.16,1.32,3.08,0.84,1.04,0.28,1.72,2.0,1.04,0.52,0.16,0.36,5.6
Jared Butler,WAS,32,11.31,2.66,5.5,0.47,1.28,1.09,1.41,0.44,0.84,1.28,2.56,0.38,0.16,0.91,6.88
Jimmy Butler,MIA,25,30.64,5.68,10.52,0.52,1.44,5.16,6.44,2.2,3.04,5.24,4.8,1.08,0.4,1.2,17.04
Matas Buzelis,CHI,48,13.58,1.94,4.79,0.83,2.35,0.71,0.85,0.65,2.17,2.81,0.44,0.23,0.81,0.58,5.42
Jamal Cain,NOP,19,12.37,1.37,3.05,0.53,1.63,0.53,0.84,0.84,1.58,2.42,0.53,0.47,0.37,0.42,3.79
Kentavious Caldwell-Pope,ORL,47,30.66,3.17,7.64,1.49,4.79,1.21,1.38,0.34,1.57,1.91,1.85,1.53,0.53,0.89,9.04
Toumani Camara,POR,47,31.81,3.77,8.43,1.45,4.13,1.13,1.55,2.26,3.49,5.74,2.04,1.4,0.57,1.47,10.11
Clint Capela,ATL,45,22.44,4.2,7.33,0.0,0.0,1.02,1.89,3.27,5.73,9.0,1.2,0.6,1.0,0.98,9.42
Branden Carlson,OKC,15,6.33,1.07,2.33,0.8,1.87,0.13,0.13,0.33,1.33,1.67,0.4,0.13,0.4,0.13,3.07
Carlton Carrington,WAS,48,29.15,3.12,8.06,1.5,4.52,0.71,0.88,0.35,3.58,3.94,3.83,0.73,0.19,1.48,8.46
Devin Carter,SAC,13,10.0,1.15,3.85,0.54,2.08,0.85,1.08,0.38,2.0,2.38,1.23,0.15,0.23,0.46,3.69
Jevon Carter,CHI,22,6.55,1.23,2.91,0.82,2.09,0.27,0.36,0.09,0.82,0.91,0.68,0.27,0.05,0.32,3.55
Wendell Carter Jr.,ORL,37,25.73,3.05,7.0,0.43,2.32,2.16,2.97,1.84,5.41,7.24,2.24,0.84,0.54,0.97,8.7
D.J. Carton,TOR,4,8.25,0.25,1.75,0.0,0.75,0.25,0.25,0.0,1.0,1.0,0.75,0.5,0.0,1.0,0.75
Alex Caruso,OKC,28,19.04,2.11,5.5,0.93,3.18,0.32,0.43,0.64,2.07,2.71,2.46,1.75,0.5,0.64,5.46
Stephon Castle,SAS,45,25.56,4.31,10.71,1.07,3.89,2.33,3.24,0.82,1.93,2.76,3.64,0.8,0.24,1.87,12.02
Colin Castleton,MEM,10,4.6,0.2,1.0,0.0,0.4,1.0,1.1,0.3,0.6,0.9,0.0,0.1,0.1,0.1,1.4
Julian Champagnie,SAS,46,25.52,3.65,8.72,2.37,6.43,1.0,1.11,0.83,3.41,4.24,1.24,0.72,0.46,1.02,10.67
Justin Champagnie,WAS,30,19.03,3.03,5.97,1.07,2.83,0.63,0.97,1.5,3.17,4.67,1.0,1.0,0.6,0.83,7.77
Ulrich Chomche,TOR,6,3.33,0.33,0.5,0.0,0.0,0.17,0.33,0.5,0.5,1.0,0.33,0.0,0.0,0.33,0.83
Cam Christie,LAC,5,5.8,0.4,1.8,0.2,1.2,0.2,0.4,0.2,1.0,1.2,0.4,0.4,0.0,0.4,1.2
Max Christie,LAL,46,25.09,2.78,6.26,1.3,3.54,1.61,1.89,0.54,2.13,2.67,1.43,0.76,0.46,0.85,8.48
Josh Christopher,MIA,8,3.5,0.25,0.88,0.0,0.12,0.25,0.5,0.0,0.38,0.38,0.5,0.0,0.12,0.5,0.75
Sidy Cissoko,SAS,17,3.18,0.53,1.06,0.18,0.41,0.06,0.35,0.18,0.41,0.59,0.35,0.06,0.0,0.12,1.29
Jaylen Clark,MIN,7,8.14,1.0,2.57,0.29,1.0,0.43,0.57,0.71,0.86,1.57,0.43,0.43,0.0,0.0,2.71
Brandon Clarke,MEM,46,18.8,3.5,5.7,0.02,0.35,0.78,1.15,1.8,3.17,4.98,0.98,0.87,0.54,0.61,7.8
Jordan Clarkson,UTA,25,25.2,5.32,13.0,2.08,5.8,3.16,3.88,0.6,2.52,3.12,3.76,0.92,0.28,2.28,15.88
Nic Claxton,BKN,42,26.43,4.29,7.88,0.02,0.33,1.29,2.4,2.0,5.55,7.55,1.98,0.95,1.21,1.19,9.88
Donovan Clingan,POR,36,16.22,2.14,4.08,0.17,0.61,0.69,0.94,2.72,3.75,6.47,0.75,0.44,1.56,1.19,5.14
Noah Clowney,BKN,37,23.05,3.03,8.08,2.0,5.65,1.38,1.62,0.95,2.97,3.92,0.81,0.51,0.51,1.03,9.43
Amir Coffey,LAC,48,26.12,3.52,7.48,1.52,3.69,1.6,1.77,0.5,1.98,2.48,1.17,0.6,0.1,0.73,10.17
Isaiah Collier,UTA,39,22.13,2.33,5.97,0.44,1.97,0.67,1.08,0.33,2.51,2.85,5.08,0.79,0.21,2.74,5.77
John Collins,UTA,30,29.83,6.63,12.37,1.5,3.23,3.27,3.77,2.23,5.97,8.2,2.33,1.03,1.0,2.67,18.03
Zach Collins,SAS,36,11.81,1.69,3.67,0.39,1.28,0.86,0.97,1.06,1.75,2.81,1.44,0.39,0.42,0.64,4.64
Mike Conley,MIN,44,24.98,2.55,6.89,1.77,4.64,1.27,1.41,0.48,2.14,2.61,4.39,1.3,0.18,1.14,8.14
Pat Connaughton,MIL,27,14.74,1.59,3.74,0.7,2.15,0.44,0.59,0.56,2.15,2.7,1.67,0.15,0.33,0.56,4.33
Bilal Coulibaly,WAS,44,33.07,4.34,10.43,1.02,3.77,2.5,3.25,1.43,3.5,4.93,3.32,1.3,0.77,2.09,12.2
Ricky Council IV,PHI,40,15.35,2.3,5.53,0.7,2.35,1.57,1.95,0.7,1.82,2.52,1.12,0.47,0.15,0.6,6.88
Torrey Craig,CHI,9,12.56,2.44,5.0,1.67,3.89,0.33,0.44,0.89,1.89,2.78,0.56,0.22,0.11,0.0,6.89
Isaiah Crawford,SAC,3,3.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.67
Cade Cunningham,DET,45,35.58,9.58,20.93,2.29,6.36,3.78,4.58,0.91,5.38,6.29,9.36,0.93,0.78,4.53,25.22
Seth Curry,CHA,39,13.69,2.1,4.28,1.05,2.26,0.38,0.44,0.38,1.03,1.41,0.56,0.44,0.13,0.41,5.64
Stephen Curry,GSW,39,31.72,7.41,16.85,4.21,10.46,3.05,3.26,0.51,4.1,4.62,6.21,1.1,0.49,2.9,22.08
Pacôme Dadiet,NYK,13,6.38,0.46,1.54,0.38,1.08,0.15,0.15,0.0,1.0,1.0,0.38,0.08,0.15,0.08,1.46
Dyson Daniels,ATL,44,33.66,5.73,12.27,1.16,3.64,0.95,1.57,1.73,3.57,5.3,3.7,3.02,0.75,1.86,13.57
Anthony Davis,LAL,42,34.26,9.52,18.05,0.67,2.24,6.02,7.64,2.83,9.05,11.88,3.36,1.29,2.14,2.21,25.74
Johnny Davis,WAS,33,7.27,0.97,2.36,0.21,0.88,0.27,0.45,0.3,0.85,1.15,0.33,0.45,0.18,0.21,2.42
JD Davison,BOS,5,4.8,0.4,1.0,0.2,0.6,0.2,0.4,0.0,0.4,0.4,0.2,0.2,0.0,1.2,1.2
DeMar DeRozan,SAC,43,35.81,7.98,16.56,0.86,2.7,4.67,5.42,0.56,3.19,3.74,3.56,1.14,0.42,1.37,21.49
Donte DiVincenzo,MIN,40,26.43,3.7,9.32,2.58,6.97,1.02,1.25,0.57,3.1,3.67,3.6,1.2,0.17,1.77,11.0
Moussa Diabaté,CHA,39,18.62,1.92,3.18,0.0,0.05,0.59,1.18,3.03,3.74,6.77,0.72,0.74,0.72,0.92,4.44
Gradey Dick,TOR,42,29.83,5.38,12.83,2.24,6.4,2.69,3.05,0.69,2.57,3.26,2.02,0.83,0.17,1.55,15.69
Ousmane Dieng,OKC,27,10.78,1.15,3.22,0.48,1.93,0.41,0.59,0.44,1.78,2.22,0.81,0.48,0.22,0.37,3.19
Rob Dillingham,MIN,24,11.29,2.42,4.79,0.88,1.88,0.12,0.29,0.17,0.96,1.12,2.33,0.29,0.0,1.38,5.83
Spencer Dinwiddie,DAL,48,25.02,3.21,7.92,1.31,3.94,2.4,2.81,0.21,2.25,2.46,3.71,0.92,0.21,1.1,10.12
Luka Dončić,DAL,22,35.68,9.82,21.18,3.41,9.64,5.09,6.64,0.73,7.59,8.32,7.82,2.0,0.41,3.41,28.14
Luguentz Dort,OKC,45,29.22,3.42,8.22,2.33,5.62,0.67,0.82,1.51,2.89,4.4,1.73,1.02,0.67,0.71,9.84
Ayo Dosunmu,CHI,39,30.56,4.74,9.82,1.44,4.21,1.31,1.67,0.64,3.05,3.69,4.56,0.82,0.44,1.31,12.23
Jeff Dowtin Jr.,PHI,22,11.23,1.45,3.59,0.27,1.0,0.55,0.77,0.14,1.09,1.23,1.5,0.36,0.18,0.14,3.73
PJ Dozier,MIN,9,3.89,0.22,0.33,0.22,0.33,0.11,0.67,0.11,0.44,0.56,0.56,0.11,0.0,0.11,0.78
Andre Drummond,PHI,28,19.21,2.89,5.68,0.04,0.39,1.25,2.18,2.5,5.14,7.64,0.57,1.14,0.36,1.68,7.07
Chris Duarte,CHI,17,4.35,0.71,1.53,0.35,0.88,0.35,0.47,0.29,0.88,1.18,0.53,0.0,0.0,0.06,2.12
Alex Ducas,OKC,10,3.7,0.6,1.1,0.6,1.0,0.0,0.0,0.1,0.2,0.3,0.1,0.1,0.0,0.1,1.8
David Duke Jr.,SAS,1,8.0,1.0,4.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
Kris Dunn,LAC,42,22.62,2.48,5.86,0.93,3.05,0.14,0.29,0.67,2.57,3.24,2.69,1.5,0.33,1.14,6.02
Ryan Dunn,PHX,43,19.63,2.88,6.42,1.05,3.33,0.23,0.49,1.05,2.37,3.42,0.98,0.49,0.6,0.4,7.05
Kevin Durant,PHX,38,35.92,9.76,18.58,2.37,5.84,5.03,6.08,0.42,5.68,6.11,4.13,0.82,1.32,3.0,26.92
Jalen Duren,DET,46,25.72,4.41,6.3,0.0,0.0,1.76,2.67,3.5,6.5,10.0,2.35,0.65,1.17,1.89,10.59
Tari Eason,HOU,32,23.25,4.31,9.12,1.03,3.03,1.56,2.12,2.12,4.22,6.34,1.09,1.88,0.81,0.91,11.22
Zach Edey,MEM,35,20.63,3.94,6.8,0.4,1.09,1.31,1.97,3.2,4.2,7.4,0.97,0.6,1.17,1.54,9.6
Anthony Edwards,MIN,48,36.67,9.06,20.23,4.12,9.75,4.35,5.25,0.75,4.94,5.69,4.54,1.15,0.67,3.42,26.6
Justin Edwards,PHI,19,22.84,2.84,6.11,1.32,3.74,0.53,0.79,1.05,2.05,3.11,1.32,0.79,0.32,0.89,7.53
Kessler Edwards,DAL,20,7.8,0.5,1.35,0.2,0.75,0.1,0.1,0.2,1.35,1.55,0.5,0.25,0.2,0.15,1.3
Keon Ellis,SAC,46,21.48,2.48,5.35,1.61,3.83,0.96,1.11,0.78,1.61,2.39,1.24,1.39,0.74,0.76,7.52
Joel Embiid,PHI,13,29.46,7.62,16.85,1.23,3.77,7.92,8.62,1.69,6.23,7.92,3.85,0.85,1.0,3.15,24.38
Drew Eubanks,UTA,37,15.35,2.38,3.92,0.08,0.14,0.97,1.54,1.08,3.46,4.54,1.22,0.27,0.86,0.84,5.81
Tosan Evbuomwan,BKN,15,24.53,3.47,7.67,0.87,2.6,1.93,2.6,1.13,3.0,4.13,1.53,0.67,0.27,1.87,9.73
Danté Exum,DAL,2,17.5,3.0,8.0,0.5,2.0,2.0,3.0,0.5,1.5,2.0,2.0,1.0,0.0,1.5,8.5
Bruno Fernando,TOR,17,8.65,1.53,2.88,0.0,0.0,0.35,0.47,1.24,1.76,3.0,1.06,0.24,0.53,0.82,3.41
Kyle Filipowski,UTA,37,18.24,2.24,4.65,0.57,1.89,0.86,1.43,1.03,3.59,4.62,1.84,0.57,0.14,0.97,5.92
Dorian Finney-Smith,BKN,20,28.95,3.65,7.95,2.35,5.4,0.75,1.2,1.55,3.0,4.55,1.55,0.9,0.6,0.9,10.4
Adam Flagler,OKC,16,3.88,0.31,2.0,0.31,1.75,0.0,0.0,0.19,0.31,0.5,0.0,0.12,0.06,0.06,0.94
Trentyn Flowers,LAC,2,8.0,2.0,4.5,0.0,1.0,0.5,0.5,0.5,1.5,2.0,0.0,0.0,0.0,0.5,4.5
Simone Fontecchio,DET,44,17.82,2.14,5.34,1.11,3.27,1.05,1.3,0.7,2.25,2.95,0.89,0.39,0.18,0.8,6.43
De'Aaron Fox,SAC,45,36.96,9.2,19.62,2.04,6.36,4.53,5.47,1.0,4.0,5.0,6.13,1.47,0.44,2.96,24.98
Enrique Freeman,IND,18,7.5,0.67,1.39,0.06,0.33,0.39,0.72,0.28,0.72,1.0,0.39,0.11,0.11,0.28,1.78
Johnny Furphy,IND,31,7.42,0.68,1.77,0.35,1.03,0.29,0.29,0.42,0.65,1.06,0.29,0.29,0.19,0.29,2.0
Daniel Gafford,DAL,47,21.53,5.13,7.28,0.0,0.0,2.47,3.49,2.74,4.0,6.74,1.38,0.43,1.83,1.21,12.72
Darius Garland,CLE,47,30.21,7.81,15.51,2.96,6.91,3.13,3.53,0.55,1.98,2.53,6.87,1.13,0.19,2.43,21.7
Luka Garza,MIN,17,5.24,1.41,2.71,0.29,0.88,0.41,0.59,0.53,0.76,1.29,0.12,0.06,0.06,0.29,3.53
Keyonte George,UTA,37,31.27,5.3,13.57,2.51,7.49,3.05,3.76,0.43,3.05,3.49,5.68,0.73,0.19,2.81,16.16
Kyshawn George,WAS,43,25.58,2.56,7.42,1.44,5.12,0.95,1.23,0.74,2.93,3.67,2.19,0.86,0.63,1.3,7.51
Paul George,PHI,30,32.03,6.27,14.6,2.43,6.67,2.17,2.63,0.67,4.97,5.63,4.7,1.7,0.37,2.73,17.13
Taj Gibson,CHA,20,10.8,1.0,2.3,0.05,0.1,0.35,0.6,1.45,1.95,3.4,0.55,0.3,0.45,0.65,2.4
Josh Giddey,CHI,46,28.7,4.48,10.11,1.24,3.76,1.5,2.0,1.63,5.74,7.37,6.61,1.11,0.52,2.74,11.7
Shai Gilgeous-Alexander,OKC,46,34.39,11.37,21.54,1.98,5.72,7.72,8.57,0.91,4.35,5.26,6.02,2.0,1.07,2.72,32.43
Anthony Gill,WAS,35,5.74,0.6,1.2,0.14,0.4,0.49,0.8,0.17,0.66,0.83,0.2,0.17,0.03,0.17,1.83
Collin Gillespie,PHX,5,3.2,0.6,1.0,0.2,0.2,0.0,0.0,0.4,0.4,0.8,0.2,0.0,0.2,0.0,1.4
Rudy Gobert,MIN,49,33.16,4.08,6.33,0.0,0.0,2.35,3.45,3.27,6.98,10.24,1.86,0.67,1.53,1.37,10.51
Aaron Gordon,DEN,28,26.68,4.46,8.57,1.14,2.79,2.5,3.14,1.57,3.25,4.82,2.61,0.46,0.21,1.39,12.57
Eric Gordon,PHI,36,20.08,2.36,5.31,1.53,3.58,1.0,1.33,0.17,0.94,1.11,1.58,0.69,0.31,0.69,7.25
Jazian Gortman,DAL,16,3.56,0.56,1.44,0.25,0.69,0.12,0.25,0.06,0.25,0.31,0.38,0.12,0.06,0.31,1.5
Jerami Grant,POR,37,31.95,4.65,12.11,2.3,6.03,3.05,3.59,0.51,2.78,3.3,2.22,0.73,1.05,1.32,14.65
AJ Green,MIL,40,21.82,2.65,5.92,2.27,5.17,0.33,0.38,0.28,2.08,2.35,1.23,0.55,0.1,0.53,7.9
Draymond Green,GSW,34,27.82,2.94,7.09,1.35,3.74,1.18,1.91,1.03,5.0,6.03,5.44,1.03,1.12,2.47,8.41
Jalen Green,HOU,48,33.04,7.52,17.52,2.88,8.1,3.58,4.1,0.54,3.79,4.33,2.79,0.92,0.31,2.48,21.5
Javonte Green,NOP,44,22.09,2.07,4.55,0.77,2.07,1.11,1.45,1.09,2.5,3.59,0.86,1.11,0.66,0.61,6.02
Jeff Green,HOU,14,10.36,1.5,2.79,0.57,1.71,0.5,0.64,0.14,1.14,1.29,0.21,0.21,0.07,0.29,4.07
Josh Green,CHA,43,28.53,2.63,6.02,1.47,3.51,0.74,1.05,1.02,1.81,2.84,1.51,1.07,0.26,0.88,7.47
Quentin Grimes,DAL,47,22.77,3.6,7.77,1.7,4.28,1.32,1.72,0.64,3.17,3.81,2.15,0.68,0.21,1.3,10.21
Mouhamed Gueye,ATL,5,13.6,2.4,6.2,0.2,2.8,0.0,0.2,0.6,2.4,3.0,0.4,1.0,0.4,0.2,5.0
Rui Hachimura,LAL,40,31.82,4.83,9.55,1.57,3.7,1.43,1.82,1.5,3.6,5.1,1.48,0.88,0.53,0.95,12.65
Tyrese Haliburton,IND,46,34.24,6.28,13.87,2.93,7.96,2.74,3.24,0.63,3.02,3.65,8.65,1.24,0.61,1.76,18.24
PJ Hall,DEN,10,2.8,0.4,0.8,0.0,0.3,0.3,0.4,0.2,0.8,1.0,0.2,0.0,0.1,0.1,1.1
